date,open,high,low,close,volume
2020-09-09,25.1,25.119,25.0699,25.0699,17327.0
2020-09-10,25.06,25.07,25.046,25.068,23485.0
2020-09-11,25.04,25.05,25.02,25.035,33362.0
2020-09-14,25.01,25.06,25.01,25.02,13146.0
2020-09-15,25.02,25.03,25.01,25.01,12069.0
2020-09-16,24.97,24.9839,24.97,24.97,14127.0
2020-09-17,24.99,25.0,24.98,24.98,15160.0
2020-09-18,24.9729,24.98,24.97,24.975,5339.0
2020-09-21,24.99,24.99,24.98,24.98,8555.0
2020-09-22,24.98,24.99,24.975,24.975,8067.0
2020-09-23,24.985,24.997,24.985,24.99,4444.0
2020-09-24,24.99,24.9909,24.98,24.98,6979.0
2020-09-25,24.985,25.0,24.97,24.98,115406.0
2020-09-28,24.96,24.97,24.955,24.955,6203.0
2020-09-29,24.94,24.95,24.93,24.945,8018.0
2020-09-30,24.96,24.97,24.96,24.96,5427.0
2020-10-01,24.93,24.93,24.9175,24.92,24856.0
2020-10-02,24.9127,24.925,24.9127,24.915,2993.0
2020-10-05,24.91,24.94,24.91,24.915,28905.0
2020-10-06,24.89,24.91,24.89,24.9095,3937.0
2020-10-07,24.9017,24.91,24.9,24.9,3774.0
2020-10-08,24.9,24.905,24.9,24.9,1677.0
2020-10-09,24.88,24.91,24.88,24.895,16039.0
2020-10-12,24.895,24.895,24.895,24.895,637.0
2020-10-13,24.92,24.92,24.91,24.91,363.0
2020-10-14,24.92,24.92,24.91,24.91,288.0
2020-10-15,24.91,24.92,24.9,24.91,2159.0
2020-10-16,24.906,24.91,24.9,24.91,600.0
2020-10-19,24.9,24.91,24.9,24.905,6307.0
2020-10-20,24.9098,24.92,24.9,24.91,16811.0
2020-10-21,24.95,24.955,24.95,24.95,2716.0
2020-10-22,24.94,24.94,24.935,24.935,1913.0
2020-10-23,24.955,24.955,24.955,24.955,492.0
2020-10-26,24.96,24.96,24.94,24.95,692.0
2020-10-27,24.96,24.96,24.955,24.955,127.0
2020-10-28,24.95,24.962,24.95,24.955,1300.0
2020-10-29,24.9401,24.96,24.94,24.945,1750.0
2020-10-30,24.9523,24.9523,24.94,24.95,1555.0
2020-11-02,24.9,24.9,24.89,24.89,9159.0
2020-11-03,24.89,24.89,24.89,24.89,102.0
2020-11-04,24.88,24.9,24.88,24.89,202.0
2020-11-05,24.87,24.87,24.87,24.87,1067.0
2020-11-06,24.885,24.885,24.885,24.885,2.0
2020-11-09,24.9299,24.94,24.9299,24.93,3861.0
2020-11-10,24.94,24.94,24.92,24.92,1799.0
2020-11-11,24.93,24.93,24.93,24.93,61.0
2020-11-12,24.945,24.945,24.945,24.945,256.0
2020-11-13,25.0,25.01,25.0,25.01,1458.0
2020-11-16,25.01,25.02,25.01,25.01,5197.0
2020-11-17,25.01,25.01,25.0,25.005,2621.0
2020-11-18,25.029,25.05,25.011,25.03,27864.0
2020-11-19,25.03,25.03,25.03,25.03,1502.0
2020-11-20,25.03,25.04,25.03,25.04,4794.0
2020-11-23,25.04,25.04,25.04,25.04,172.0
2020-11-24,25.049,25.049,25.04,25.04,766.0
2020-11-25,25.05,25.05,25.05,25.05,227.0
2020-11-27,25.05,25.05,25.05,25.05,303.0
2020-11-30,25.05,25.05,25.04,25.05,2704.0
2020-12-01,25.039,25.039,25.035,25.035,273.0
2020-12-02,25.02,25.0317,25.02,25.03,2418.0
2020-12-03,25.04,25.04,25.04,25.04,465.0
2020-12-04,25.05,25.05,25.0487,25.05,805.0
2020-12-07,25.0583,25.06,25.055,25.055,642.0
2020-12-08,25.05,25.0582,25.05,25.05,2998.0
2020-12-09,25.06,25.06,25.06,25.06,108.0
2020-12-10,25.06,25.06,25.06,25.06,215.0
2020-12-11,25.0682,25.0682,25.06,25.06,805.0
2020-12-14,25.06,25.06,25.06,25.06,1101.0
2020-12-15,25.06,25.0601,25.06,25.06,1943.0
2020-12-16,25.07,25.07,25.07,25.07,46.0
2020-12-17,25.07,25.0899,25.07,25.07,1472.0
2020-12-18,25.07,25.08,25.07,25.08,3044.0
2020-12-21,25.08,25.08,25.07,25.07,2739.0
2020-12-22,25.08,25.08,25.08,25.08,1332.0
2020-12-23,25.08,25.09,25.08,25.09,1780.0
2020-12-24,25.09,25.09,25.09,25.09,1168.0
2020-12-28,25.08,25.09,25.08,25.09,656.0
2020-12-29,25.0675,25.0675,25.065,25.065,857.0
2020-12-30,25.06,25.074,25.06,25.07,2392.0
2020-12-31,25.07,25.07,25.07,25.07,66.0
2021-01-04,25.065,25.07,25.065,25.0654,3722.0
2021-01-05,25.08,25.0815,25.07,25.08,2276.0
2021-01-06,25.08,25.09,25.075,25.075,620.0
2021-01-07,25.075,25.075,25.075,25.075,397.0
2021-01-08,25.08,25.08,25.07,25.07,5273.0
2021-01-11,25.07,25.1,25.07,25.085,1979.0
2021-01-12,25.11,25.11,25.1,25.1,812.0
2021-01-13,25.09,25.09,25.09,25.09,58.0
2021-01-14,25.105,25.105,25.105,25.105,174.0
2021-01-15,25.14,25.14,25.125,25.125,2385.0
2021-01-19,25.16,25.16,25.149,25.15,2842.0
2021-01-20,25.15,25.15,25.15,25.15,31.0
2021-01-21,25.1537,25.1537,25.14,25.15,3637.0
2021-01-22,25.16,25.17,25.16,25.16,1609.0
2021-01-25,25.155,25.155,25.155,25.155,46.0
2021-01-26,25.158,25.165,25.158,25.165,467.0
