date,open,high,low,close,volume
2024-09-16,0.2,0.2,0.055,0.0557,399370.0
2024-09-17,0.05,0.0508,0.05,0.0507,3800.0
2024-09-18,0.03,0.06,0.03,0.0501,464600.0
2024-09-19,0.0501,0.0501,0.0501,0.0501,0.0
2024-09-20,0.05,0.05,0.05,0.05,100011.0
2024-09-23,0.0501,0.065,0.045,0.0587,417234.0
2024-09-24,0.0587,0.0587,0.0587,0.0587,100.0
2024-09-25,0.053,0.06,0.05,0.05,110702.0
2024-09-26,0.05,0.0501,0.05,0.05,73598.0
2024-09-27,0.0499,0.0566,0.0451,0.0566,23090.0
2024-09-30,0.0566,0.06,0.05,0.06,253640.0
2024-10-01,0.06,0.06,0.06,0.06,0.0
2024-10-02,0.06,0.06,0.06,0.06,15023.0
2024-10-03,0.06,0.06,0.06,0.06,0.0
2024-10-04,0.06,0.06,0.06,0.06,0.0
2024-10-07,0.06,0.06,0.06,0.06,0.0
2024-10-08,0.06,0.06,0.06,0.06,0.0
2024-10-09,0.06,0.06,0.06,0.06,0.0
2024-10-10,0.06,0.06,0.06,0.06,250092.0
2024-10-11,0.056,0.056,0.055,0.0551,80001.0
2024-10-14,0.056,0.056,0.0503,0.0503,30000.0
2024-10-15,0.0502,0.0502,0.0502,0.0502,255.0
2024-10-16,0.05,0.05,0.05,0.05,65000.0
2024-10-17,0.055,0.055,0.055,0.055,126091.0
2024-10-18,0.055,0.055,0.055,0.055,1000.0
2024-10-21,0.055,0.055,0.0501,0.0501,5803.0
2024-10-22,0.055,0.055,0.055,0.055,4500.0
2024-10-23,0.06,0.06,0.06,0.06,4531.0
2024-10-24,0.06,0.06,0.06,0.06,0.0
2024-10-25,0.06,0.06,0.06,0.06,0.0
2024-10-28,0.06,0.06,0.06,0.06,3.0
2024-10-29,0.06,0.06,0.06,0.06,85.0
2024-10-30,0.06,0.06,0.06,0.06,0.0
2024-10-31,0.06,0.06,0.06,0.06,0.0
2024-11-01,0.06,0.06,0.055,0.055,12005.0
2024-11-04,0.055,0.0574,0.055,0.0551,5700.0
2024-11-05,0.0551,0.0551,0.0551,0.0551,0.0
2024-11-06,0.0551,0.0551,0.0551,0.0551,0.0
2024-11-07,0.055,0.055,0.055,0.055,120.0
