date,open,high,low,close,volume
2016-02-02,0.6,0.6,0.6,0.6,433.0
2016-04-18,0.05,0.05,0.05,0.05,200.0
2016-04-19,0.62,0.62,0.62,0.62,200.0
2016-05-17,0.62,0.62,0.62,0.62,10.0
2016-06-17,0.11,0.11,0.11,0.11,3000.0
2016-06-23,0.5,0.5,0.5,0.5,100.0
2016-07-05,0.5,0.5,0.5,0.5,100.0
2016-07-08,0.5,0.5,0.5,0.5,250.0
2016-07-15,0.5,0.5,0.5,0.5,2500.0
2016-07-26,0.55,0.55,0.458,0.458,2500.0
2016-12-16,0.54,0.54,0.54,0.54,2700.0
2016-12-19,0.45,0.55,0.45,0.55,3000.0
2016-12-21,0.55,0.55,0.55,0.55,90.0
2016-12-23,0.45,0.45,0.45,0.45,2500.0
2016-12-28,0.45,0.45,0.45,0.45,2000.0
2016-12-29,0.45,0.5,0.45,0.5,6600.0
2017-01-03,0.5,0.5,0.5,0.5,25.0
2017-01-04,0.47,0.47,0.47,0.47,10075.0
2017-01-06,0.49,0.49,0.49,0.49,1100.0
2017-01-10,0.49,0.5,0.49,0.5,8675.0
2017-01-12,0.454,0.454,0.454,0.454,1850.0
2017-01-17,0.455,0.5,0.45,0.45,26000.0
2017-01-19,0.45,0.5,0.45,0.5,3100.0
2017-01-23,0.45,0.45,0.45,0.45,222.0
2017-01-24,0.45,0.45,0.45,0.45,1000.0
2017-01-25,0.42,0.42,0.42,0.42,9523.0
2017-01-27,0.45,0.45,0.45,0.45,100.0
2017-04-04,0.5,0.5,0.5,0.5,150.0
2017-04-07,0.3,0.3,0.3,0.3,10000.0
2017-04-10,0.4,0.4,0.4,0.4,116.0
2017-04-18,0.35,0.35,0.35,0.35,5000.0
2017-04-19,0.4,0.4,0.4,0.4,179.0
2017-04-20,0.354,0.354,0.354,0.354,100.0
2017-04-21,0.25,0.4,0.25,0.4,10112.0
2017-04-24,0.37,0.37,0.37,0.37,10050.0
2017-04-25,0.27,0.39,0.25,0.39,23400.0
2017-04-26,0.25,0.25,0.25,0.25,10000.0
2017-04-27,0.4,0.4,0.4,0.4,104.0
2017-05-02,0.202,0.396,0.202,0.396,8605.0
2017-05-04,0.396,0.396,0.396,0.396,100.0
2017-05-08,0.2,0.366,0.2,0.366,10113.0
2017-05-09,0.371,0.371,0.371,0.371,109.0
2017-05-10,0.371,0.371,0.371,0.371,111.0
2017-05-12,0.2,0.245,0.2,0.245,15800.0
2017-05-15,0.361,0.361,0.361,0.361,125.0
2017-06-02,0.115,0.115,0.115,0.115,364.0
2017-06-06,0.25,0.25,0.25,0.25,0.0
2017-06-07,0.25,0.25,0.25,0.25,0.0
2017-06-08,0.25,0.25,0.25,0.25,0.0
2017-06-09,0.25,0.25,0.25,0.25,0.0
2017-06-12,0.25,0.25,0.25,0.25,0.0
2017-06-13,0.25,0.25,0.25,0.25,0.0
2017-06-14,0.25,0.25,0.25,0.25,0.0
2017-06-15,0.25,0.25,0.25,0.25,0.0
2017-06-16,0.25,0.25,0.25,0.25,0.0
2017-06-19,0.25,0.25,0.25,0.25,0.0
2017-06-20,0.25,0.25,0.25,0.25,0.0
2017-06-21,0.25,0.25,0.25,0.25,0.0
2017-06-22,0.25,0.25,0.25,0.25,0.0
2017-06-23,0.11,0.11,0.11,0.11,2350.0
2017-06-26,0.11,0.11,0.11,0.11,0.0
2017-06-27,0.11,0.11,0.11,0.11,0.0
2017-06-28,0.11,0.11,0.11,0.11,0.0
2017-07-10,0.39,0.39,0.39,0.39,150.0
2017-07-13,0.39,0.39,0.39,0.39,0.0
2017-07-18,0.39,0.39,0.39,0.39,0.0
2017-07-19,0.1428,0.1428,0.12,0.12,600.0
2017-07-20,0.12,0.12,0.12,0.12,0.0
2017-07-21,0.12,0.12,0.12,0.12,0.0
2017-07-24,0.12,0.12,0.12,0.12,0.0
2017-07-25,0.133,0.133,0.133,0.133,5000.0
2017-07-26,0.1365,0.1365,0.11,0.11,17450.0
2017-07-28,0.063,0.063,0.063,0.063,10000.0
2017-07-31,0.063,0.063,0.063,0.063,10000.0
2017-08-01,0.063,0.063,0.063,0.063,0.0
2017-08-02,0.063,0.063,0.063,0.063,0.0
2017-08-07,0.063,0.063,0.063,0.063,0.0
2017-08-08,0.063,0.063,0.063,0.063,0.0
2017-08-09,0.063,0.063,0.063,0.063,0.0
2017-08-10,0.11,0.11,0.053,0.053,479.0
2017-08-11,0.053,0.053,0.053,0.053,0.0
2017-08-14,0.26,0.26,0.26,0.26,100.0
2017-08-15,0.26,0.26,0.26,0.26,0.0
2017-08-16,0.26,0.26,0.26,0.26,0.0
2017-08-17,0.15,0.2,0.14,0.14,18500.0
2017-08-18,0.13,0.13,0.1,0.1,6600.0
2017-08-21,0.07,0.07,0.07,0.07,800.0
2017-08-22,0.07,0.07,0.07,0.07,0.0
2017-08-23,0.07,0.07,0.07,0.07,0.0
2017-08-24,0.125,0.125,0.07,0.07,39038.0
2017-08-25,0.07,0.07,0.07,0.07,0.0
2017-08-28,0.1,0.1,0.1,0.1,1000.0
2017-08-29,0.1,0.1,0.1,0.1,5310.0
2017-08-30,0.07,0.07,0.07,0.07,10000.0
2017-08-31,0.07,0.07,0.07,0.07,0.0
2017-09-05,0.07,0.07,0.07,0.07,0.0
2017-09-06,0.07,0.07,0.07,0.07,0.0
2017-09-07,0.07,0.07,0.07,0.07,0.0
2017-09-12,0.07,0.07,0.07,0.07,0.0
2017-09-13,0.07,0.07,0.07,0.07,0.0
2017-09-14,0.07,0.07,0.07,0.07,0.0
2017-09-15,0.085,0.085,0.075,0.075,26500.0
2017-09-18,0.075,0.08,0.075,0.08,22304.0
2017-09-28,0.08,0.1,0.08,0.09,88000.0
2017-10-02,0.08,0.08,0.08,0.08,10000.0
2017-10-06,0.056,0.056,0.056,0.056,30000.0
2017-10-09,0.04,0.0666,0.04,0.0666,40100.0
2017-10-10,0.035,0.035,0.032,0.032,40000.0
2017-10-11,0.038,0.04,0.03,0.03,125000.0
2017-10-12,0.025,0.025,0.02,0.025,80000.0
2017-10-13,0.03,0.04,0.025,0.03,120000.0
2017-10-17,0.0175,0.0175,0.015,0.015,100000.0
2017-10-18,0.029,0.029,0.0102,0.02,450100.0
2017-10-19,0.012,0.027,0.012,0.027,140000.0
2017-10-20,0.0275,0.032,0.024,0.0296,364000.0
2017-10-23,0.026,0.026,0.02,0.02,237160.0
2017-10-24,0.0177,0.0177,0.0125,0.013,204255.0
2017-10-25,0.013,0.013,0.008,0.011,360722.0
2017-10-26,0.0091,0.012,0.0089,0.0089,411794.0
2017-10-30,0.008,0.008,0.006,0.008,2550917.0
2017-10-31,0.0097,0.019,0.0075,0.0075,3465114.0
2017-11-01,0.008,0.0175,0.008,0.0085,7081711.0
2017-11-02,0.008,0.0095,0.0064,0.0071,3335324.0
2017-11-03,0.0071,0.0072,0.0052,0.006,2310897.0
2017-11-06,0.0055,0.0065,0.0044,0.0065,2864774.0
2017-11-07,0.0065,0.0065,0.0046,0.0055,850903.0
2017-11-08,0.0056,0.006,0.0056,0.0056,109500.0
2017-11-09,0.0045,0.0055,0.004,0.0055,709164.0
2017-11-10,0.0045,0.0045,0.0033,0.004,962500.0
2017-11-13,0.0035,0.0035,0.003,0.003,4905418.0
2017-11-14,0.003,0.0035,0.003,0.0035,215000.0
2017-11-15,0.003,0.003,0.0025,0.0025,1574022.0
2017-11-16,0.0029,0.0069,0.0026,0.0057,8237148.0
2017-11-17,0.0059,0.0059,0.003,0.0034,4571372.0
2017-11-20,0.0039,0.0039,0.003,0.003,522835.0
2017-11-21,0.0032,0.0037,0.0028,0.0037,542356.0
2017-11-22,0.0035,0.0035,0.0028,0.0034,1772200.0
2017-11-24,0.0031,0.0035,0.003,0.0035,602333.0
2017-11-27,0.0035,0.0036,0.0028,0.0036,2252633.0
2017-11-28,0.0036,0.0036,0.003,0.003,82400.0
2017-11-29,0.0036,0.0036,0.0026,0.003,2406000.0
2017-11-30,0.0029,0.0029,0.0026,0.0029,551000.0
2017-12-01,0.0026,0.003,0.0025,0.003,1651000.0
2017-12-04,0.0034,0.0034,0.0028,0.0029,462461.0
2017-12-05,0.003,0.0032,0.0025,0.0028,5161800.0
2017-12-06,0.0028,0.0031,0.0027,0.0028,2951000.0
2017-12-07,0.0027,0.0027,0.0026,0.0027,1146370.0
2017-12-08,0.0029,0.0029,0.0029,0.0029,10000.0
2017-12-11,0.0027,0.003,0.0021,0.003,36000.0
2017-12-12,0.0021,0.0029,0.0021,0.0029,19181.0
2017-12-13,0.0027,0.0029,0.0025,0.0029,1866240.0
2017-12-14,0.0022,0.0025,0.0021,0.0025,1181661.0
2017-12-15,0.0024,0.0025,0.0023,0.0023,2675000.0
2017-12-18,0.0024,0.0024,0.0023,0.0023,317799.0
2017-12-19,0.0023,0.0023,0.0023,0.0023,3582480.0
2017-12-20,0.0024,0.0024,0.0024,0.0024,100000.0
2017-12-21,0.0028,0.0033,0.0028,0.0032,995000.0
2017-12-22,0.0031,0.0031,0.0025,0.0025,164533.0
2017-12-26,0.0027,0.0027,0.0026,0.0026,36900.0
2017-12-27,0.0024,0.0028,0.0023,0.0028,120000.0
2017-12-28,0.0022,0.0023,0.0022,0.0023,18712.0
2017-12-29,0.0023,0.0023,0.0023,0.0023,916547.0
2018-01-02,0.0025,0.0025,0.0025,0.0025,66000.0
2018-01-03,0.0025,0.0032,0.0025,0.0031,1964322.0
2018-01-04,0.0028,0.0031,0.0028,0.0031,34000.0
2018-01-05,0.0031,0.0031,0.003,0.0031,184800.0
2018-01-08,0.0031,0.0032,0.0028,0.0031,380600.0
2018-01-10,0.0034,0.0034,0.0034,0.0034,100000.0
2018-01-11,0.0034,0.0048,0.0034,0.0042,909400.0
2018-01-12,0.0044,0.0074,0.0043,0.007,3461330.0
2018-01-16,0.0073,0.0073,0.0045,0.0063,410000.0
2018-01-17,0.005,0.0062,0.005,0.0062,119877.0
2018-01-18,0.0064,0.0064,0.0059,0.006,229539.0
2018-01-19,0.006,0.006,0.0038,0.0048,331883.0
2018-01-22,0.005,0.006,0.005,0.0059,128787.0
2018-01-23,0.006,0.006,0.0058,0.006,498168.0
2018-01-24,0.0065,0.007,0.005,0.005,338000.0
2018-01-25,0.0052,0.006,0.005,0.005,561731.0
2018-01-26,0.0047,0.0047,0.0045,0.0045,110000.0
2018-01-29,0.004,0.0055,0.0039,0.0051,222309.0
2018-01-30,0.005,0.005,0.005,0.005,160769.0
2018-01-31,0.005,0.005,0.005,0.005,50025.0
2018-02-01,0.005,0.005,0.005,0.005,40000.0
2018-02-02,0.005,0.005,0.0043,0.0043,113000.0
2018-02-05,0.0038,0.0038,0.0038,0.0038,1400.0
2018-02-07,0.0048,0.0048,0.0046,0.0048,120500.0
2018-02-08,0.005,0.0065,0.005,0.0065,271796.0
2018-02-12,0.007,0.007,0.0049,0.0065,119035.0
2018-02-20,0.007,0.007,0.0039,0.0039,83522.0
2018-02-21,0.0042,0.0056,0.0038,0.0056,280000.0
2018-02-22,0.0053,0.0053,0.0046,0.005,80335.0
2018-02-26,0.0038,0.0038,0.0038,0.0038,27333.0
2018-02-27,0.0049,0.0049,0.0047,0.0047,28500.0
2018-03-01,0.0047,0.0047,0.0044,0.0044,55000.0
2018-03-02,0.0053,0.007,0.0052,0.007,189444.0
2018-03-05,0.006,0.006,0.006,0.006,15500.0
2018-03-06,0.006,0.006,0.006,0.006,97000.0
2018-03-08,0.0062,0.0062,0.0041,0.0041,97074.0
2018-03-09,0.004,0.0043,0.004,0.004,44444.0
2018-03-13,0.004,0.004,0.0038,0.0038,25832.0
2018-03-23,0.005,0.005,0.005,0.005,152991.0
2018-03-28,0.005,0.0055,0.004,0.004,47692.0
2018-04-02,0.0055,0.0058,0.0055,0.0058,125100.0
2018-04-03,0.005,0.0055,0.005,0.0054,430000.0
2018-04-05,0.005,0.0057,0.0045,0.0057,110000.0
2018-04-09,0.0057,0.027,0.0055,0.0218,8306717.0
2018-04-10,0.0219,0.031,0.015,0.022,7473378.0
2018-04-11,0.022,0.022,0.0131,0.0169,1122243.0
2018-04-12,0.017,0.021,0.0121,0.021,1646008.0
2018-04-13,0.021,0.024,0.016,0.02,1023763.0
2018-04-16,0.025,0.025,0.0193,0.024,847513.0
2018-04-17,0.024,0.024,0.02,0.0201,153222.0
2018-04-18,0.0201,0.022,0.0201,0.022,171900.0
2018-04-19,0.022,0.022,0.0194,0.0199,216000.0
2018-04-20,0.018,0.0213,0.018,0.02,242354.0
2018-04-23,0.0213,0.0213,0.019,0.0199,40300.0
2018-04-24,0.0199,0.0212,0.018,0.021,148072.0
2018-04-25,0.0202,0.021,0.0199,0.0199,235621.0
2018-04-26,0.019,0.0249,0.0111,0.0249,1485226.0
2018-04-27,0.025,0.025,0.0191,0.0229,303511.0
2018-04-30,0.0228,0.0249,0.0191,0.0242,122478.0
2018-05-01,0.0242,0.0242,0.0203,0.0203,211600.0
2018-05-02,0.0229,0.0242,0.0203,0.0241,411352.0
2018-05-03,0.0241,0.0241,0.0203,0.0239,37928.0
2018-05-04,0.0203,0.0239,0.0203,0.023,452625.0
2018-05-07,0.023,0.023,0.023,0.023,86956.0
2018-05-08,0.0215,0.023,0.0215,0.023,58000.0
2018-05-09,0.023,0.025,0.0135,0.024,400360.0
2018-05-10,0.0265,0.0265,0.0176,0.026,348000.0
2018-05-11,0.026,0.026,0.024,0.025,76300.0
2018-05-14,0.026,0.026,0.025,0.0259,116709.0
2018-05-15,0.0193,0.024,0.017,0.024,425400.0
2018-05-16,0.024,0.024,0.02,0.023,123808.0
2018-05-17,0.024,0.024,0.0209,0.0234,38200.0
2018-05-18,0.0228,0.024,0.0228,0.024,138659.0
2018-05-21,0.0189,0.023,0.018,0.022,70200.0
2018-05-22,0.022,0.0239,0.02,0.0238,152380.0
2018-05-23,0.0239,0.0239,0.0239,0.0239,100.0
2018-05-24,0.0239,0.0239,0.0239,0.0239,21610.0
2018-05-25,0.0186,0.023,0.014,0.02,272400.0
2018-05-29,0.02,0.02,0.02,0.02,9200.0
2018-05-30,0.0151,0.0151,0.0125,0.015,255750.0
2018-05-31,0.0185,0.02,0.012,0.0175,930565.0
2018-06-01,0.017,0.017,0.017,0.017,29000.0
2018-06-04,0.0185,0.0185,0.0165,0.018,40665.0
2018-06-05,0.0175,0.018,0.0175,0.018,22907.0
2018-06-06,0.018,0.0185,0.018,0.0185,51100.0
2018-06-07,0.0185,0.02,0.017,0.02,20632.0
2018-06-08,0.018,0.02,0.014,0.02,32800.0
2018-06-12,0.014,0.021,0.0139,0.02,302989.0
2018-06-13,0.021,0.0229,0.02,0.0229,125900.0
2018-06-14,0.02,0.0229,0.02,0.0229,54700.0
2018-06-15,0.0165,0.024,0.0165,0.024,75800.0
